;eumohp_dsd3;eumohp_lp3;eumohp_sd3;gwn_recharge;hyraum_gr;swr1000_swr;huek250_kf;huek250_ha;hengl_clay;hengl_sand;clc2018;twi;dwd_epot;dwd_psum;dwd_tmean;dwd_percfrost;dwd_rhmean;buek5000_bt
NW_91163705;3090.0;388.0;120.0;146;2;295.534;9;K/Ka;22;26;15;3.218;579.343;814.7077513;10.06567921;0.062029166;77.89305216;12.0
NW_91174909;2346.0;2637.0;618.0;214;8;616.571;2;K/Ka;23;29;12;4.112;512.148;1114.863846;8.082118591;0.117682632;80.94700838;16.0
RP_2373131200;4018.0;7814.0;3140.0;103;3;155.294;3;P;18;57;17;7.613;643.41;760.9365129;11.1018178;0.05746769;76.12937447;12.0
RP_2378140100;4047.0;6677.0;2702.0;69;3;11.091;3;P;22;32;12;5.489;640.705;655.6821398;10.97591349;0.060214942;73.88431898;17.0
RP_2587150500;763.0;8265.0;631.0;186;8;464.705;10;K;21;27;2;3.616;575.748;1060.0419;8.433083628;0.120447163;80.48244228;13.0
SH_10L53126001;6748.0;5806.0;3918.0;125;1;257.441;3;P;9;74;18;2.947;578.357;760.3370699;9.153760813;0.098503698;80.17993765;1.0
SH_10L54010004;1211.0;8599.0;1041.0;179;1;360.582;3;P;13;78;12;3.823;566.805;823.2114721;9.078928132;0.081173543;83.55295378;4.0
SH_10L55005005;;;;87;1;191.234;3;P;17;54;12;4.382;556.29;603.3128081;9.290480545;0.075730873;82.2673686;5.0
SH_10L55038005;6135.0;8202.0;5032.0;102;1;355.952;3;P;18;46;12;7.224;559.857;726.042652;9.135876306;0.088482272;82.06831035;5.0
SH_10L56048003;4640.0;7490.0;3475.0;99;1;328.276;3;P;10;78;2;3.972;575.843;844.2232546;9.381968187;0.086702606;81.32243855;1.0
SH_10L57066002;963.0;3083.0;297.0;189;1;318.583;3;P;5;81;15;4.605;563.524;759.4761068;9.127989308;0.08480199;82.19398621;5.0
SH_10L62060004;4934.0;3358.0;1657.0;190;1;358.823;3;P;7;80;15;3.698;579.662;804.7896567;9.476890363;0.087618356;80.18416392;1.0
SN_46440927;3952.0;7018.0;2773.0;51;1;99.319;5;P;13;64;15;2.863;631.748;612.3465644;9.585189719;0.107678485;76.46473877;12.0
SN_46460564;7626.0;264.0;201.0;17;1;154.958;3;P;16;56;2;4.272;641.333;611.2399823;9.632732571;0.109527265;75.74089047;4.0
SN_47500596;2857.0;3806.0;1087.0;134;9;229.561;11;P;21;42;2;5.253;621.067;726.2222755;9.375415121;0.115937522;75.43875222;12.0
SN_48390509;2971.0;1015.0;301.0;38;5;109.924;3;P;15;61;2;3.116;620.786;601.2205742;9.637808713;0.102218536;75.44065704;17.0
SN_49430964;4271.0;7120.0;3041.0;82;9;244.699;5;K;30;25;2;4.025;597.324;762.8398812;9.206870058;0.115920243;76.3899707;13.0
SN_49484004;6297.0;1215.0;765.0;85;9;141.639;3;P;23;50;1;4.058;645.543;705.3444044;9.62835333;0.115021771;74.52649112;8.0
SN_49531740;3451.0;7946.0;2742.0;145;9;283.981;3;P;16;49;2;3.092;590.395;786.0645321;8.334475974;0.143254544;77.497293;12.0
SN_52410759;6597.0;8615.0;5683.0;89;9;306.341;4;K/P;28;28;2;3.23;565.576;843.9947187;8.638383965;0.124127445;76.90654377;16.0
ST_31340028;7215.0;8892.0;6415.0;137;1;138.732;3;P;11;78;17;3.011;611.348;582.1179861;9.483902634;0.096724031;78.12657595;7.0
ST_33340002;981.0;4378.0;430.0;65;1;158.469;3;P;9;77;2;3.972;619.076;572.4757451;9.484620502;0.096724031;77.8841742;4.0
ST_34376608;6777.0;6807.0;4613.0;39;1;134.238;9;P;10;83;15;3.41;627.724;553.8816677;9.632134983;0.098572811;76.65278652;4.0
ST_36340007;2889.0;3028.0;875.0;89;1;69.872;3;P;10;83;15;4.958;621.938;583.9917865;9.546638892;0.095842836;77.25992433;1.0
ST_39320023;2768.0;3498.0;968.0;0;5;-80.72;5;K;13;50;15;3.778;616.5;594.006294;9.652423267;0.094011335;76.1763828;6.0
ST_40415442;5193.0;9303.0;4830.0;60;1;109.196;11;P;12;61;2;6.787;635.89;627.3839756;9.628892089;0.103998203;76.25487984;7.0
ST_41300015;3359.0;7641.0;2567.0;159;5;245.934;4;K;16;48;12;5.934;568.319;747.3781999;8.98307046;0.105812427;76.92797746;12.0
ST_43435116;3128.0;3491.0;1092.0;76;1;-13.396;3;P;16;65;12;10.016;645.681;569.3600858;9.718925688;0.099471283;75.81410788;11.0
ST_44339213;5151.0;5412.0;2787.0;30;5;128.016;5;K;26;27;15;8.733;572.924;587.4730393;8.919487439;0.114969936;77.31872211;12.0
